         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:593(_module_repr_from_spec)
      429    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      252    0.001    0.000    0.001    0.000 yacc.py:240(__getitem__)
      225    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      138    0.001    0.000    0.005    0.000 render_functions.py:32(clear_entity)
      326    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.001    0.001 plyparser.py:86(template)
       39    0.001    0.000    0.001    0.000 _inspect.py:142(formatargspec)
      203    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      128    0.001    0.000    0.001    0.000 random.py:224(_randbelow)
        1    0.001    0.001    0.003    0.003 game_map.py:18(generate_map)
      276    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_console_put_char}
      180    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      138    0.001    0.000    0.001    0.000 libtcodpy.py:1185(console_set_default_foreground)
      360    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       69    0.001    0.000    0.030    0.000 libtcodpy.py:1688(console_check_for_keypress)
      203    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      200    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       69    0.000    0.000    0.010    0.000 libtcodpy.py:4136(sys_check_for_event)
      169    0.000    0.000    0.003    0.000 yacc.py:3140(<lambda>)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        3    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
  168/167    0.000    0.000    0.001    0.000 typing.py:661(__hash__)
       81    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      310    0.000    0.000    0.000    0.000 yacc.py:1382(__init__)
       53    0.000    0.000    0.086    0.002 sre_parse.py:919(parse)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      362    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      296    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      290    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       99    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      169    0.000    0.000    0.001    0.000 inspect.py:63(ismodule)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      310    0.000    0.000    0.000    0.000 yacc.py:1398(bind)
       69    0.000    0.000    0.005    0.000 libtcodpy.py:1732(console_blit)
  295/280    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      288    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 yacc.py:2026(bind_callables)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.001    0.001 lex.py:663(get_rules)
       61    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       69    0.000    0.000    0.005    0.000 render_functions.py:24(clear_all)
      102    0.000    0.000    0.002    0.000 re.py:170(match)
       11    0.000    0.000    0.003    0.000 {method 'sort' of 'list' objects}
       91    0.000    0.000    0.004    0.000 typing.py:741(__getitem__)
      283    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      255    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      128    0.000    0.000    0.001    0.000 random.py:174(randrange)
        9    0.000    0.000    0.001    0.000 datetime.py:473(__new__)
        4    0.000    0.000    0.001    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.003    0.003 constants.py:5(<module>)
      225    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       53    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      232    0.000    0.000    0.000    0.000 _internal.py:15(deprecate)
        1    0.000    0.000    0.006    0.006 core.py:21(<module>)
       70    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8BB546BA0}
      114    0.000    0.000    0.003    0.000 enum.py:284(__call__)
        3    0.000    0.000    0.002    0.001 enum.py:135(__new__)
       76    0.000    0.000    0.000    0.000 lex.py:533(_statetoken)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      128    0.000    0.000    0.002    0.000 random.py:218(randint)
      245    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      223    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      248    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
    62/50    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      203    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       53    0.000    0.000    0.049    0.001 sre_compile.py:598(_code)
        1    0.000    0.000    0.001    0.001 _string_helpers.py:9(<listcomp>)
      199    0.000    0.000    0.000    0.000 color.py:20(__init__)
      180    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      142    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       73    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
        1    0.000    0.000    0.018    0.018 numeric.py:1(<module>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.001    0.001 yacc.py:3233(<listcomp>)
      232    0.000    0.000    0.000    0.000 typing.py:890(cast)
       69    0.000    0.000    0.142    0.002 libtcodpy.py:1162(console_flush)
      210    0.000    0.000    0.000    0.000 rectangle.py:13(intersect)
      106    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      107    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       69    0.000    0.000    0.000    0.000 libtcodpy.py:1118(console_is_window_closed)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
